"file","swedish","english","chinese"
"English\Amanda_ClubDotGig2.eng.mtf","Jo precis","Yes, right","对，就是这样"
"English\Amanda_ClubDotGig2.eng.mtf","Läget då?","What's up?","那么情况呢？"
"English\Amanda_ClubDotGig2.eng.mtf","Det är bra","I'm good","这很好"
"English\Amanda_ClubDotGig2.eng.mtf","Bra fest här som vanligt","Nice party going on here, as per usual","像往常一样在这里举办很棒的聚会"
"English\Amanda_ClubDotGig2.eng.mtf","Tycker du?","You think?","你认为？"
"English\Amanda_ClubDotGig2.eng.mtf","Jo men det är det väl...","Well, isn't it...?","是的，但就是这样……"
"English\Amanda_ClubDotGig2.eng.mtf","Nej det kanske är lite segt","Well, maybe it's a bit slow","不，可能有点困难"
"English\Amanda_ClubDotGig2.eng.mtf","Mm","Mm","ETC"
"English\Amanda_ClubDotGig2.eng.mtf","Går du hit ofta?","You come here often?","你经常去这里吗？"
"English\Amanda_ClubDotGig2.eng.mtf","Rätt så","Kinda","漂亮的"
"English\Amanda_ClubDotGig2.eng.mtf","Jag gillar bättre när de har rejv här","I like it better when they throw raves","我更喜欢他们在这里狂欢"
"English\Amanda_ClubDotGig2.eng.mtf","Tufft","Dope","艰难的"
"English\Amanda_ClubDotGig2.eng.mtf","Ja","Yes","是的"
"English\Amanda_ClubDotGig2.eng.mtf","Rejv, vad är det?","What's a rave?","雷夫，这是什么？"
"English\Amanda_ClubDotGig2.eng.mtf","*suck*","*sigh*","*叹*"
"English\Amanda_ClubDotGig2.eng.mtf","Var är du ifrån?","Where are you from?","你从哪来？"
"English\Amanda_ClubDotGig2.eng.mtf","Äh... nu måste jag röka","Ugh... gotta have a smoke","呃……现在我得抽烟了"
"English\Amanda_PyjamasParty.eng.mtf","Vet du var Felix bor?","Do you know where Felix lives?","你知道菲利克斯住在哪里吗？"
"English\Amanda_PyjamasParty.eng.mtf","Felix?","Felix?","菲利克斯？"
"English\Amanda_PyjamasParty.eng.mtf","Ja ja, vi är där jätteofta","Yeah sure, we hang out all the time","是的，我们经常去那里"
"English\Amanda_PyjamasParty.eng.mtf","Han är så himla gullig","He's so frickin' cute","他真是太可爱了"
"English\Amanda_PyjamasParty.eng.mtf","Han bor ju jättenära, mellan caféet och parken","His place is really close by, between the café and the park","他住得很近，在咖啡馆和公园之间"
"English\Amanda_PyjamasParty.eng.mtf","Man går in där bakom ett hörn","Around a corner there","你从一个角落进去"
"English\Amanda_PyjamasParty.eng.mtf","Du har väl sett hans uteplats?","You've seen his patio, right?","你见过他的露台吧？"
"English\Amanda_PyjamasParty.eng.mtf","Jo kanske","Maybe","也许"
"English\Amanda_PyjamasParty.eng.mtf","Nä...","No...","呃……"
"English\Amanda_PyjamasParty.eng.mtf","Fräckast i stan","Freshest in town","城里最淘气的"
"English\Amanda_PyjamasParty.eng.mtf","Han är så cool, Felix","He's a cool cat, Felix","他太酷了，菲利克斯"
"English\Amanda_PyjamasParty.eng.mtf","Läget?","How's things?","那个地点？"
"English\Amanda_PyjamasParty.eng.mtf","Eh?","Eh?","啊？"
"English\Amanda_PyjamasParty.eng.mtf","Bra..?","I'm good...?","好的..？"
"English\Amanda_PyjamasParty.eng.mtf","Hej då","Bye","再见"
"English\Amanda_PyjamasParty.eng.mtf","Hejsan","Hi","你好"
"English\Amanda_PyjamasParty.eng.mtf","Hej hej","Hello there","你好你好"
"English\Amanda_PyjamasParty.eng.mtf","Tjenare","What's up","你好"
"English\Amanda_PyjamasParty.eng.mtf","Hej hej","Hello there","你好你好"
"English\Amanda_PyjamasParty.eng.mtf","Yo","Yo","哟"
"English\Amanda_PyjamasParty.eng.mtf","Yo?","Yo?","哟？"
"English\Amanda_PyjamasParty.eng.mtf","Seriöst..?!","Seriously...?!","严重地..？！"
"English\Amanda_PyjamasParty.eng.mtf","Jo, ehm...","Well, um...","嗯，嗯..."
"English\Amanda_PyjamasParty.eng.mtf","Du, har du någon öl?","Ey, you got beer?","你，有啤酒吗？"
"English\Amanda_PyjamasParty.eng.mtf","Ja, massor","Yeah, loads","是的，很多"
"English\Amanda_PyjamasParty.eng.mtf","Kan man få en?","Can I have some?","你能得到一个吗？"
"English\Amanda_PyjamasParty.eng.mtf","Javisst","Sure","当然"
"English\Amanda_PyjamasParty.eng.mtf","Schysst","Cool man","好的"
"English\Amanda_PyjamasParty.eng.mtf","Vad i helvete, den här är ju tom!","What the shit, it's empty!","什么鬼，这个是空的！"
"English\Amanda_PyjamasParty.eng.mtf","Eh...","Er...","呃..."
"English\Amanda_PyjamasParty.eng.mtf","Oj, sorry!","Whoops, sorry!","哦对不起！"
"English\Amanda_PyjamasParty.eng.mtf","Öh, är den..?","Uhm, is it...?","呃，是吗.."
"English\Amanda_PyjamasParty.eng.mtf","Skitstövel","Asshole","狗屎靴子"
"English\Amanda_PyjamasParty.eng.mtf","Tack","Thanks","谢谢"
"English\Amanda_PyjamasParty.eng.mtf","Det här är väl ingen öl?","But this isn't beer?","这不是啤酒吧？"
"English\Amanda_PyjamasParty.eng.mtf","Vänta här så ska jag hämta","Wait here and I'll get you one","在这里等一下，我去拿"
"English\Amanda_PyjamasParty.eng.mtf","Ok...","OK...","好的..."
"English\Amanda_PyjamasParty.eng.mtf","Nä, jag har inte så det räcker till dig","No, I don't have enough to share","不，我没有，所以这对你来说已经足够了"
"English\Amanda_PyjamasParty.eng.mtf","Men vafan","Screw you then","我勒个去"
"English\Amanda_PyjamasParty.eng.mtf","Nej, tyvärr","No, I'm sorry","不抱歉"
"English\Amanda_PyjamasParty.eng.mtf","OK, segt","OK, too bad","好吧，艰难"
"English\Amanda_PyjamasParty.eng.mtf","Ursäkta...","Excuse me...","借口..."
"English\Amanda_PyjamasParty.eng.mtf","Vill du ha mer öl?","Want another beer?","想要更多啤酒吗？"
"English\Amanda_PyjamasParty.eng.mtf","Jag ska nog gå hem nu","I think I'll be leaving now","我现在可能会回家"
"English\Amanda_PyjamasParty.eng.mtf","Mår inte bra","Not feeling well","感觉不好"
"English\Amanda_PyjamasParty.eng.mtf","OK","OK","好的"
"English\Amanda_PyjamasParty.eng.mtf","Hej då Emma","Bye Emma","你好艾玛"
"English\Amanda_PyjamasParty.eng.mtf","Hej då, vi ses!","Bye, see ya!","再见再见！"
"English\Amanda_TryFindLodge.eng.mtf","Ja?","Yes?","是的？"
"English\Amanda_TryFindLodge.eng.mtf","Vill du köpa en burk läsk?","Do you want to buy a soda?","想买一罐苏打水吗？"
"English\Amanda_TryFindLodge.eng.mtf","Nej har jag ju sagt","No, I told you","不，我说"
"English\Amanda_TryFindLodge.eng.mtf","Ah, just det","Ah, right","啊，就是这样"
"English\Amanda_TryFindLodge.eng.mtf","Ok ok","OK OK","好的好的"
"English\Amanda_TryFindLodge.eng.mtf","Nej det är bra","No, I'm fine","不，这很好"
"English\Amanda_TryFindLodge.eng.mtf","Ok","OK","好的"
"English\Amanda_TryFindLodge.eng.mtf","Synd...","Too bad...","罪..."
"English\Amanda_TryFindLodge.eng.mtf","Var det något mer?","Anything else?","还有什么事情吗？"
"English\Amanda_TryFindLodge.eng.mtf","Kanske konstig fråga men känner du en person vid namn Pixie?","Perhaps this is a weird question, but do you know anyone named Pixie?","也许问题很奇怪，但你认识一个叫 Pixie 的人吗？"
"English\Amanda_TryFindLodge.eng.mtf","Ja... är inte det hon tjejen som jobbar på skoaffären?","Yes... isn't she the girl working at the shoe store?","是啊……她不是那个在鞋店工作的女孩吗？"
"English\Amanda_TryFindLodge.eng.mtf","Min kompis Emma känner henne bättre","My friend Emma knows her better than I do","我的朋友艾玛更了解她"
"English\Amanda_TryFindLodge.eng.mtf","Men jag tror hon jobbar där i Burrows","But I think she's working over in the Burrows","但我认为她在巴罗斯工作"
"English\Amanda_TryFindLodge.eng.mtf","Ok, tack!","OK, thanks!","好，谢谢！"
"English\Amanda_TryFindLodge.eng.mtf","Jaha ja... ok","Oh really... OK","是啊是啊……好吧"
"English\Amanda_TryFindLodge.eng.mtf","Jag tror du måste blanda ihop henne med någon annan","I think you must have her mixed up with someone else","我想你一定把她和别人搞混了"
"English\Amanda_TryFindLodge.eng.mtf","Ja, det är mycket möjligt","Yes, that's quite possible","是的，很有可能"
"English\Amanda_TryFindLodge.eng.mtf","Du får fråga runt","You'll have to ask around","你可以四处问问"
"English\Amanda_TryFindLodge.eng.mtf","Ok","OK","好的"
"English\Amanda_TryFindLodge.eng.mtf","Ja, tack för hjälpen i alla fall","Right, thanks for your help anyway","是的，无论如何感谢您的帮助"
"English\Amanda_TryFindLodge.eng.mtf","Hej då","Bye","再见"
"English\Amanda_TryFindLodge.eng.mtf","Har vi träffats?","Have we met?","我们见过面吗？"
"English\Amanda_TryFindLodge.eng.mtf","Jag vet inte","I don't know","我不知道"
"English\Amanda_TryFindLodge.eng.mtf","Hur så?","Why?","为何如此？"
"English\Amanda_TryFindLodge.eng.mtf","Gullet, jag har inte tid mer nu","Sugar, I don't have time for this right now","亲爱的，我已经没有时间了"
"English\Amanda_TryFindLodge.eng.mtf","Sluta stör är du snäll","Please stop bothering me","请别再打扰我了"
"English\Araki_AfterGhostVisit.eng.mtf","Tjena","Yo","嘿"
"English\Araki_AfterGhostVisit.eng.mtf","Läget?","What's up?","那个地点？"
"English\Araki_AfterGhostVisit.eng.mtf","Jag är seg i skallen","Can't think straight","我的头骨很坚硬"
"English\Araki_AfterGhostVisit.eng.mtf","Läste en grym bok om funktionell komposition i går när jag skulle sova","I read this awesome book on functional programming instead of going to bed last night","昨天我睡觉的时候读了一本关于函数组合的好书"
"English\Araki_AfterGhostVisit.eng.mtf","Kunde inte lägga ner den, så jag är lite trött idag","Couldn't put it down, so I'm a little busted today","放不下所以今天有点累"
"English\Araki_AfterGhostVisit.eng.mtf","Låter spännande","Sounds exciting","听起来很令人兴奋"
"English\Araki_AfterGhostVisit.eng.mtf","Haha, OK","Hah, OK","哈哈，好的"
"English\Araki_AfterGhostVisit.eng.mtf","Abstrakt...","Sounds kinda abstract...","抽象的..."
"English\Araki_AfterGhostVisit.eng.mtf","Nonsens, ja!","Nonsense, yeah!","废话，对！"
"English\Araki_AfterGhostVisit.eng.mtf","Hehe","Heh","呵呵"
"English\Araki_AfterGhostVisit.eng.mtf","Jaha..?","Oh...?","是的..？"
"English\Araki_AfterGhostVisit.eng.mtf","Kleislipilar, om det säger dig något?","Kleisli arrows, if that rings a bell?","Kleislipilar，这能告诉你什么吗？"
"English\Araki_AfterGhostVisit.eng.mtf","Ehm","Um","呃"
"English\Araki_AfterGhostVisit.eng.mtf","Njae...","Nah...","出色地..."
"English\Araki_AfterGhostVisit.eng.mtf","Jaså, du har börjat lära dig om sånt?","Oh, you're finally learning that stuff?","嗯，你已经开始学习那些东西了吗？"
"English\Araki_AfterGhostVisit.eng.mtf","Mm","Mm","ETC"
"English\Araki_AfterGhostVisit.eng.mtf","Vad gör du då?","What are you up to, then?","你在做什么？"
"English\Araki_AfterGhostVisit.eng.mtf","Har du pratat med Pixie efter det som hände med Ivan?","Did you talked to Pixie after that thing with Ivan?","伊万事件发生后你和皮克西谈过吗？"
"English\Araki_AfterGhostVisit.eng.mtf","Nej, inte direkt","No, not really","不，不是真的"
"English\Araki_AfterGhostVisit.eng.mtf","OK...","OK...","好的..."
"English\Araki_AfterGhostVisit.eng.mtf","Hon verkar helt förstörd!","She seems devastated!","她看起来完全崩溃了！"
"English\Araki_AfterGhostVisit.eng.mtf","Mm","Mm","ETC"
"English\Araki_AfterGhostVisit.eng.mtf","Men borde vi inte göra något?!","But shouldn't we do something?!","但我们不应该做点什么吗？"
"English\Araki_AfterGhostVisit.eng.mtf","Jo...","Yeah...","是的..."
"English\Araki_AfterGhostVisit.eng.mtf","Du verkar väldigt lugn?","You seem very calm?","你看上去很平静？"
"English\Araki_AfterGhostVisit.eng.mtf","Jag vet inte hur vi ska fixa allting bara","I just don't know how we're supposed to fix things","我只是不知道我们要如何解决所有问题"
"English\Araki_AfterGhostVisit.eng.mtf","Det är ju jävlarna på ministeriet som ställt till med allt det här","The fuckers at the ministry screwed it all up","是部里的混蛋造成了这一切"
"English\Araki_AfterGhostVisit.eng.mtf","Självklart måste vi göra någonting","I mean of course we have to do something","当然我们必须做点什么"
"English\Araki_AfterGhostVisit.eng.mtf","Jag vet bara inte vad!","I just don't know what!","我就是不知道是什么！"
"English\Araki_AfterGhostVisit.eng.mtf","Vi har kämpat här i flera år, och nu händer det här","We've been fighting the good fight for years, and then this happens","我们已经在这里战斗了很多年，现在却发生了这种情况"
"English\Araki_AfterGhostVisit.eng.mtf","Jag hoppades att saker höll på att förbättras...","I was hoping things were getting better...","我希望事情会有所改善......"
"English\Araki_AfterGhostVisit.eng.mtf","Fan","Damn it","该死"
"English\Araki_AfterGhostVisit.eng.mtf","Det behövs drastiska åtgärder","We need some drastic measures","需要采取严厉措施"
"English\Araki_AfterGhostVisit.eng.mtf","Ja!","Yes!","是的！"
"English\Araki_AfterGhostVisit.eng.mtf","Exakt","Exactly","确切地"
"English\Araki_AfterGhostVisit.eng.mtf","Vad vet du om spöken förresten?","What do you know about ghosts, by the way?","顺便问一下，你对鬼了解多少？"
"English\Araki_AfterGhostVisit.eng.mtf","Jag letar efter någon som vet något om spöken","I'm looking for someone who knows about ghosts","我正在寻找了解鬼魂的人"
"English\Araki_AfterGhostVisit.eng.mtf","Mhm?","Mhm?","唔？"
"English\Araki_AfterGhostVisit.eng.mtf","Det var någonting på mitt rum","There was something in my room","我的房间里有东西"
"English\Araki_AfterGhostVisit.eng.mtf","Det såg ut som ett spöke","Looked like a ghost","它看起来像一个幽灵"
"English\Araki_AfterGhostVisit.eng.mtf","Gör du det?","Do you?","你？"
"English\Araki_AfterGhostVisit.eng.mtf","Vad menar du med spöken?","What do you mean by ghosts?","你说的鬼是什么意思？"
"English\Araki_AfterGhostVisit.eng.mtf","Lite som vålnader... fast fyrkantiga","Kinda like spectres... but square","有点像幽灵……虽然是方形的"
"English\Araki_AfterGhostVisit.eng.mtf","Med olika färger","In different colors","具有不同的颜色"
"English\Araki_AfterGhostVisit.eng.mtf","Lite genomskinliga nästan","Sort of transparent","几乎透明"
"English\Araki_AfterGhostVisit.eng.mtf","Blinkande saker, som ett skimmer runt sig","Flashing things, with a kind of halo around them","闪烁的东西，就像它们周围闪闪发光"
"English\Araki_AfterGhostVisit.eng.mtf","Har du varit inne på internet?","Have you been on the internet?","你上网过吗？"
"English\Araki_AfterGhostVisit.eng.mtf","Jag vet inte... har jag?","I don't know... have I?","我不知道……是吗？"
"English\Araki_AfterGhostVisit.eng.mtf","Ja","Yes","是的"
"English\Araki_AfterGhostVisit.eng.mtf","Nej","No","不"
"English\Araki_AfterGhostVisit.eng.mtf","Det du beskriver låter som 'corruption'","What you're describing sounds like 'corruption'","你所描述的听起来像是“腐败”"
"English\Araki_AfterGhostVisit.eng.mtf","Jag har drabbats av det när jag varit ute på internet för länge","Happened to me, when I'd been on the internet for too long","当我上网时间太长时，我就深受其苦"
"English\Araki_AfterGhostVisit.eng.mtf","Det brukar hjälpa att ta det lite lugnt sen, så går det över","Taking it easy helps, it passes after a while","事后放松通常会有所帮助，一切都会过去"
"English\Araki_AfterGhostVisit.eng.mtf","Jaha..?","Oh...?","是的..？"
"English\Araki_AfterGhostVisit.eng.mtf","Jo men det har jag råkat ut för faktiskt","Yeah that has happened to me actually","是的，但这确实发生在我身上"
"English\Araki_AfterGhostVisit.eng.mtf","Att sova är bra, eller att dricka något sött","Sleeping's good, so is drinking something sweet","睡觉好，或者喝点甜的东西"
"English\Araki_AfterGhostVisit.eng.mtf","OK, det ska jag komma ihåg","OK, I'll remember that","好的，我会记住的"
"English\Araki_AfterGhostVisit.eng.mtf","Vad brukar du göra på nätet?","What do you usually do on the net?","你通常上网做什么？"
"English\Araki_AfterGhostVisit.eng.mtf","En stor del av mitt jobb är att hålla oss dolda från Ministeriet","An important part of my job is keeping us hidden from the Ministry","我工作的一个重要部分就是让我们向魔法部隐藏"
"English\Araki_AfterGhostVisit.eng.mtf","De försöker hålla så mycket som möjligt av nätverket under kontroll","They try to control as much of the network as possible","他们试图尽可能多地控制网络"
"English\Araki_AfterGhostVisit.eng.mtf","Men de kan inte övervaka allting samtidigt, som tur är","But luckily they can't monitor everything all the time","但幸运的是他们无法同时监控所有事情"
"English\Araki_AfterGhostVisit.eng.mtf","Så jag ser till att våra datorer inte drar någon uppmärksamhet till sig","So I make sure our computers don't attract any attention","所以我确保我们的电脑不会引起任何注意"
"English\Araki_AfterGhostVisit.eng.mtf","Coolt","Cool","凉爽的"
"English\Araki_AfterGhostVisit.eng.mtf","Aha...","I see...","啊哈..."
"English\Araki_AfterGhostVisit.eng.mtf","Hur kommer man ut på nätet egentligen?","How do you get online anyway?","您实际上如何上网？"
"English\Araki_AfterGhostVisit.eng.mtf","Å, det finns flera sätt","Oh, there are several ways to do it","哦，有几种方法"
"English\Araki_AfterGhostVisit.eng.mtf","Du måste hitta någonting som kan koppla upp sig mot andra saker","You have to find something that can connect to other things","你必须找到可以连接到其他事物的东西"
"English\Araki_AfterGhostVisit.eng.mtf","Connect() heter funktionen","The function is called Connect()","Connect() 是函数的名称"
"English\Araki_AfterGhostVisit.eng.mtf","Vilka saker kan det?","What things can do that?","它能做什么事情呢？"
"English\Araki_AfterGhostVisit.eng.mtf","De flesta datorer såklart...","Most computers, of course...","当然大多数计算机..."
"English\Araki_AfterGhostVisit.eng.mtf","Ja nästan allting","Well, almost everything","是的，几乎所有的东西"
"English\Araki_AfterGhostVisit.eng.mtf","Aha","Ah","啊哈"
"English\Araki_AfterGhostVisit.eng.mtf","Ja... och sen måste du anropa Slurp() då","Yeah... and then you have to call Slurp() too","是的...然后你必须调用 Slurp() 然后"
"English\Araki_AfterGhostVisit.eng.mtf","Slurp?","Slurp?","咕噜咕噜？"
"English\Araki_AfterGhostVisit.eng.mtf","Mm","Mm","ETC"
"English\Araki_AfterGhostVisit.eng.mtf","Vad gör den?","What's that do?","它在做什么？"
"English\Araki_AfterGhostVisit.eng.mtf","Slurp-funktionen tar dig ut på internet","The Slurp function gets you online, onto the internet","Slurp 功能带您上网"
"English\Araki_AfterGhostVisit.eng.mtf","Sen beror det på vad du är uppkopplad mot","Beyond that, depends on what you're connected to","然后这取决于你连接到什么"
"English\Araki_AfterGhostVisit.eng.mtf","Med många kopplingar kan du nå många andra platser","If you have a lot connections you can reach many other places","通过许多连接，您可以到达许多其他地方"
"English\Araki_AfterGhostVisit.eng.mtf","Wow","Wow","哇"
"English\Araki_AfterGhostVisit.eng.mtf","OK, jag förstår","OK, I get it","好的，我明白了"
"English\Araki_AfterGhostVisit.eng.mtf","Jag måste testa det här!","I have to try this out!","我必须尝试这个！"
